산업별,2016사업체수,2016종사자수,2016매출액,2017사업체수,2017종사자수,2017매출액,2018사업체수,2018종사자수,2018매출액,2019사업체수,2019종사자수,2019매출액,2017매출액증가율,2018매출액증가율,2019매출액증가율,2017종사자수증가율,2018종사자수증가율,2019종사자수증가율,2017사업체수증가율,2018사업체수증가율,2019사업체수증가율
전체산업,191566,1004747,239502242,196705,1034344,265037192,202493,1070454,274736643,206244,1092494,272040775,10.66167472453139,3.6596565662376923,-0.9812553471434824,2.945716682906244,3.491101606428809,2.05893947801587,2.6826263533194825,2.942477313743931,1.8524097129283483
농업임업및어업,27,264,50199,33,294,53013,36,201,39239,47,209,53457,5.6056893563616805,-25.982306226774565,36.23435867376845,11.363636363636363,-31.63265306122449,3.9800995024875623,22.22222222222222,9.090909090909092,30.555555555555557
광업,34,639,347963,35,634,332307,32,549,227701,31,531,160326,-4.49932895164141,-31.4787229880803,-29.589242032314306,-0.7824726134585289,-13.406940063091483,-3.278688524590164,2.941176470588235,-8.571428571428571,-3.125
제조업,24738,248950,79793073,24826,250329,87517182,25235,247361,88403997,25190,244352,83445027,9.680174869314783,1.0133038790028681,-5.609440939644392,0.5539264912633058,-1.185639698157225,-1.216440748541605,0.35572802975179885,1.6474663659067108,-0.17832375668714087
전기가스증기및공기조절공급업,57,3557,9650524,63,3799,10591129,67,3726,11328844,71,4069,11038772,9.746672823154473,6.965404726918159,-2.560473072098089,6.8034860837784645,-1.921558304817057,9.205582393988191,10.526315789473683,6.349206349206349,5.970149253731343
수도하수및폐기물처리원료재생업,449,6163,1745348,452,6160,1904965,495,6488,2034022,516,7096,1878234,9.145282201601056,6.774770140133808,-7.659110865074223,-0.048677592081778354,5.324675324675324,9.3711467324291,0.6681514476614699,9.513274336283185,4.242424242424243
건설업,5561,48871,13503122,5859,51119,15201661,6278,55565,15845080,6463,56774,16570154,12.578861392202484,4.23255721858289,4.576019811828025,4.599864950584191,8.69735323460944,2.17583010888149,5.358748426541989,7.151391022358765,2.946798343421472
도매및소매업,45898,139481,62502267,46705,143663,70798017,47008,146626,73089938,46874,147971,72575435,13.272718571951959,3.237267224589073,-0.7039313674065506,2.9982578272309492,2.0624656313734224,0.9172997967618295,1.7582465466904875,0.6487528101916283,-0.2850578624914908
운수및창고업,24271,77026,14745858,24187,76998,16898506,26111,84685,19536854,26774,83113,18524016,14.598323135893482,15.612906845137669,-5.1842430720933885,-0.03635136187780749,9.983376191589393,-1.8562909606187636,-0.3460920440031313,7.954686401786083,2.5391597411052813
숙박및음식점업,34301,102169,6501020,35316,104921,7019759,36043,111297,7716452,37321,114801,7919155,7.979347856182568,9.924742430616208,2.6268938107824686,2.693576329414989,6.076953136169118,3.1483328391600853,2.959097402408093,2.058557027975988,3.5457647809560804
정보통신업,861,8176,1653959,947,9043,1840950,1023,9902,2035154,1089,10200,2167773,11.305661143958224,10.549118661560607,6.51641104309551,10.604207436399218,9.499060046444765,3.0094930317107655,9.988385598141695,8.025343189017951,6.451612903225806
금융및보험업,1720,25498,16227090,1770,25929,17743500,1802,25635,16826026,1771,25519,18117081,9.34492875802131,-5.170761123791811,7.672964489654301,1.6903286532277042,-1.1338655559412243,-0.4525063389896626,2.9069767441860463,1.807909604519774,-1.7203107658157604
부동산업,7274,20923,4604600,7729,21758,5820328,8175,23363,6140036,8523,23743,6013443,26.40246709811927,5.4929550362110175,-2.061763155786057,3.9908234956746163,7.376597113705303,1.6265034456191412,6.255155347814132,5.770474835036874,4.2568807339449535
전문과학및기술서비스업,3351,28743,5287063,3498,27677,4415724,3840,30601,4769183,4105,31577,5035698,-16.480586669763532,8.0045537266369,5.588273714806078,-3.70872908186341,10.5647288362178,3.1894382536518413,4.386750223813786,9.777015437392796,6.901041666666667
사업시설관리사업지원및임대서비스업,2788,43398,2940661,2919,46653,3180413,3029,47082,3237998,3142,51649,3339930,8.152996894235685,1.8106139045463592,3.147994532424047,7.500345638047837,0.9195550125393865,9.700097701881823,4.698708751793401,3.768413840356286,3.7306041597887094
공공행정국방및사회보장행정,479,32776,5357407,483,35245,5644032,485,36806,6506938,486,38067,6736900,5.350069539237919,15.288821891867373,3.53410467411861,7.532950939711984,4.4289970208540215,3.426071836113677,0.8350730688935281,0.4140786749482402,0.2061855670103093
교육서비스업,7708,70917,5340379,8067,72855,5743344,8321,73735,5813003,8553,76559,6362451,7.545625507103522,1.212864839717071,9.452050859082647,2.732772113879606,1.2078786630979343,3.829931511493863,4.657498702646601,3.1486302218916573,2.788126427112126
보건업및사회복지서비스업,7005,88357,5568617,7333,95218,6343358,7384,101680,6802588,7586,109265,7299730,13.912628575461374,7.23954094976194,7.308130376262681,7.765089353418518,6.786531958243189,7.459677419354839,4.682369735902927,0.6954861584617482,2.735644637053088
예술스포츠및여가관련서비스업,6052,17432,1564698,6684,19842,1682358,6882,21974,1954260,6968,22560,2102317,7.519661941154139,16.161958394111124,7.576115767605129,13.82514915098669,10.744884588247153,2.666788022208064,10.442828816920025,2.96229802513465,1.2496367335077012
협회및단체수리및기타개인서비스업,18992,41407,2118394,19799,42207,2306646,20247,43178,2429330,20734,44439,2700876,8.88654329647837,5.318718173486525,11.177814459130706,1.9320404762479773,2.30056625678205,2.920468757237482,4.249157540016849,2.262740542451639,2.4052946115473897
